folder,course_college,course_code,college_name,ccr_star_rating,ccr_num_reviews,ccr_student_satisfaction,ccr_challenge_level,ccr_grade_accessibility,ccr_time_investment,ccr_attendance_importance,ccr_recommendation_rate,ccr_source,course_date,within3,instructor,rmp_course_num_ratings,rmp_course_avg_quality,rmp_course_avg_difficulty,rmp_course_would_take_again_pct,rmp_prof_avg_rating_overall,rmp_prof_avg_difficulty_overall,rmp_prof_num_ratings_overall,slide_status,slide_num_decks,slide_final,slide_layer1_course,slide_layer2,slide_visual_documentation,slide_abbreviation,slide_symbol,slide_visual_appeal,slide_prerequisite,slide_progression,slide_long_term_recall
19,CS7643 - Georgia Institute of Technology,CS7643,Georgia Institute of Technology,2.6,12,0.52,0.73,1.0,0.88,0.0,0.71,scraped,2025,10,Zsolt Kira,12,2.58,3.67,41.7,3.0,3.8,16,ok,26.0,0.5465221521454461,0.41841015794942876,0.6746341463414633,0.693807390294707,0.08065026382290938,0.0,0.7718638765068129,0.5457292591227149,0.82,0.5292682926829269
20,CS3853 - University of Texas at San Antonio,CS3853,University of Texas at San Antonio,2.9,19,0.57,0.95,0.67,0.95,0.22,0.7,scraped,2024,8,Wei Wang,8,4.5,3.5,87.5,4.3,3.8,11,,,,,,,,,,,,
21,CS537 - University of Wisconsin-Madison,CS537,University of Wisconsin-Madison,3.6,22,0.72,0.8,1.0,0.95,0.41,1.0,scraped,2024,22,Louis Oliphant & Tej Chajed,22,3.59,4.0,68.2,3.8,3.6,40,ok,27.0,0.5058313732519832,0.41735081989846196,0.5943119266055046,0.6380632679183404,0.0630768824831881,0.1111111111111111,0.7670620239216119,0.5074408140580581,0.84,0.3486238532110092
22,CSCI4430 - Rensselaer Polytechnic Institute,CSCI4430,Rensselaer Polytechnic Institute,1.8,20,0.35,0.87,0.83,0.97,0.0,1.0,scraped,2024,12,Carlos Varela,19,1.63,4.42,10.5,1.8,4.3,67,ok,22.0,0.5822069103600204,0.4262888207200409,0.7381249999999999,0.618973955428531,0.25659613375130613,0.0,0.7567607179348024,0.4991132964855651,0.82,0.65625
23,CSCI567 - University of Southern California,CSCI567,University of Southern California,3.8,22,0.75,0.82,1.0,0.97,0.0,0.79,scraped,2024,17,Dani Yogatama,17,1.59,4.65,11.8,1.6,4.7,17,ok,12.0,0.50973539321718,0.4227164004694477,0.5967543859649123,0.7441576971451728,0.14541120429278323,0.0,0.7818030086454849,0.4422100922637977,0.79,0.40350877192982454
24,DSCI553 - University of Southern California,DSCI553,University of Southern California,1.6,50,0.32,0.95,0.67,1.0,0.31,0.6,scraped,2024,50,Wei-Min Shen,50,1.6,4.76,12.0,1.5,4.4,125,ok,19.0,0.5530194457749751,0.4395733743085709,0.6664655172413794,0.7730769211589467,0.15898888805067296,0.05263157894736842,0.7581390059101941,0.45503047747567243,0.82,0.5129310344827587
25,3DB3 - McMaster University,3DB3,McMaster University,1.0,16,0.2,0.84,0.67,0.84,0.08,0.07,scraped,2024,6,Fei Chiang,8,2.62,4.0,25.0,3.1,3.7,22,,,,,,,,,,,,
26,CS442 - Penn State University,CS442,Penn State University,3.4,6,0.67,0.77,1.0,0.77,0.0,1.0,scraped,2024,6,Rui Zhang,6,3.33,3.83,66.7,4.0,4.1,14,ok,16.0,0.5173758803123052,0.42004161569707416,0.6147101449275362,0.7001231541111174,0.1856914781007523,0.0,0.7647116681685111,0.44968177810498994,0.82,0.40942028985507245
27,ECE560 - Duke University,ECE560,Duke University,5.0,5,1.0,0.52,1.0,0.52,0.0,1.0,scraped,2024,4,Tyler Bletsch,6,5.0,2.67,100.0,4.8,2.9,45,ok,19.0,0.4804434251664569,0.4379754579278505,0.5229113924050632,0.6212230180191994,0.2002378174670838,0.3157894736842105,0.738629922667798,0.3139970578009605,0.78,0.26582278481012656
28,CISC3171 - Brooklyn College,CISC3171,Brooklyn College,4.3,4,0.85,0.3,1.0,0.3,0.0,1.0,scraped,2023,6,Hui Chen,6,4.83,2.67,100.0,3.3,3.5,21,ok,25.0,0.5370316370679769,0.5173966074692871,0.5566666666666666,0.776860231271996,0.17459829059829063,0.44,0.763235593711434,0.4322889217647148,0.68,0.43333333333333335
29,COSC1306 - University of Houston,COSC1306,University of Houston,2.4,24,0.48,0.64,0.88,0.64,0.62,0.41,scraped,2023,10,Stephen Huang,10,1.4,4.6,0.0,1.2,4.5,22,ok,17.0,0.47379363501822913,0.3975872700364582,0.55,0.36227192445945855,0.24075630252100838,0.11764705882352941,0.7757859882923475,0.49147507608594715,0.78,0.32
30,CS15112 - Carnegie Mellon University,CS15112,Carnegie Mellon University,4.1,25,0.82,0.71,0.94,0.86,0.71,0.86,scraped,2023,18,Mike Taylor & Pat Virtue,18,4.39,3.44,83.3,4.8,3.3,16,ok,11.0,0.47263013105045315,0.41889662573727,0.5263636363636364,0.5460623908170837,0.33333333333333337,0.0,0.7913061687214491,0.42378123581448385,0.78,0.2727272727272727
31,CX4220 - Georgia Institute of Technology,CX4220,Georgia Institute of Technology,3.0,4,0.6,0.95,1.0,0.95,0.0,1.0,scraped,2023,4,Helen Xu,4,3.0,4.75,50.0,1.9,4.5,11,ok,22.0,0.5354744579426642,0.3995929836819387,0.6713559322033897,0.7019832719111095,0.06480346387940873,0.0,0.7673213661116862,0.4638568165074886,0.83,0.5127118644067796
32,CS104 - University of Southern California,CS104,University of Southern California,4.3,30,0.86,0.82,1.0,0.82,0.17,1.0,scraped,2022,72,Mark Redekopp & Aaron Cote,104,4.5,3.89,77.9,4.4,3.3,368,,,,,,,,,,,,
33,CS4450 - Cornell University,CS4450,Cornell University,3.9,6,0.77,0.63,0.8,0.63,0.83,1.0,scraped,2022,16,Rachit Agarwal,18,2.94,3.33,50.0,2.9,3.6,33,ok,27.0,0.6029242702304538,0.4722598307834883,0.7335887096774194,0.7218368209838028,0.16307191659344014,0.07407407407407407,0.7856586699284266,0.616657672337698,0.82,0.6471774193548387
34,CSC241 - DePaul University,CSC241,DePaul University,3.9,87,0.78,0.58,0.87,0.58,0.47,0.92,scraped,2022,4,Luka Perkovic,9,4.22,3.0,33.3,4.0,3.7,75,ok,6.0,0.543246561707829,0.4492203961429308,0.6372727272727272,0.5736687283419885,0.44166666666666665,0.0,0.7211928597913025,0.5095737259146963,0.82,0.45454545454545453
35,COMP251 - McGill University,COMP251,McGill University,3.4,12,0.67,0.8,0.5,0.8,0.1,1.0,scraped,2022,9,Giulia Alberini & Jérôme Waldispühl,9,2.89,3.78,44.4,3.6,3.8,251,ok,25.0,0.5380104675544974,0.41808705081147424,0.6579338842975206,0.6897168627991688,0.03295038295038294,0.0,0.7680592877342032,0.599708720573616,0.82,0.49586776859504134
36,CS6375 - University of Texas at Dallas,CS6375,University of Texas at Dallas,4.2,34,0.84,0.86,0.96,0.86,0.23,0.95,scraped,2022,12,Nicholas Ruozzi,18,4.17,4.67,55.6,3.6,4.8,32,ok,19.0,0.5149896547458269,0.3978740463337591,0.6321052631578947,0.5458502757951963,0.11403508771929824,0.0,0.7777496120995194,0.5517352560547817,0.83,0.4342105263157895
37,CSCIE109B - Harvard University,CSCIE109B,Harvard University,4.0,8,0.8,0.63,1.0,0.63,0.25,0.86,scraped,2022,17,Pavlos Protopapas & Mark Glickman,19,3.74,3.05,68.4,3.8,3.1,24,ok,15.0,0.48175155748329823,0.45876627286133326,0.5047368421052632,0.8236420186354766,0.19636363636363635,0.0,0.771003253386417,0.5028224559211363,0.72,0.2894736842105263
38,CALC2202 - Kennesaw State University,CALC2202,Kennesaw State University,4.5,12,0.9,0.62,1.0,0.62,0.5,1.0,scraped,2021,5,Charles Kang,9,3.89,2.89,77.8,4.0,3.2,87,,,,,,,,,,,,
39,"CMPSC16 - University of California, Santa Barbara",CMPSC16,"University of California, Santa Barbara",5.0,8,1.0,0.65,1.0,0.65,0.43,1.0,scraped,2021,12,Pierre Conrad,14,3.57,1.86,71.4,4.5,2.0,78,ok,16.0,0.48384091065531815,0.37497911860793354,0.5927027027027028,0.49012743255196817,0.07291666666666667,0.0,0.7749897931929183,0.5368617006281147,0.78,0.40540540540540543
40,CS4320 - Cornell University,CS4320,Cornell University,3.2,15,0.64,0.56,0.92,0.61,0.0,0.62,scraped,2021,14,Immanuel Trummer,15,3.2,2.8,53.3,3.3,3.2,20,ok,5.0,0.4357212608750046,0.48144252175000923,0.39,0.737799671592775,0.21406162464985995,0.2,0.8033834425334424,0.451967869973969,0.78,0.0
41,"CSC134 - California State University, Sacramento",CSC134,"California State University, Sacramento",4.5,25,0.9,0.5,0.95,0.5,0.32,0.96,scraped,2021,32,Ying Jin,47,3.57,2.87,53.2,3.6,2.7,63,,,,,,,,,,,,
42,CSI1430 - Baylor University,CSI1430,Baylor University,4.2,5,0.84,0.6,0.0,0.6,1.0,0.0,scraped,2021,4,William Booth,12,3.42,3.17,25.0,3.6,3.2,20,,,,,,,,,,,,
43,MIS3690 - Babson College,OIM3690,Babson College,3.5,7,0.71,0.51,1.0,0.51,0.6,0.6,scraped,2021,6,Zhi Li,6,3.83,4.0,66.7,4.2,3.6,9,ok,24.0,0.4807088205579374,0.4502055199037536,0.5112121212121212,0.5526770980449134,0.1909722222222222,0.3333333333333333,0.801799094729266,0.37224585118903347,0.78,0.24242424242424243
44,CMPSC311 - Penn State University,CMPSC311,Penn State University,5.0,5,1.0,0.56,0.67,0.56,0.0,1.0,scraped,2021,39,Patrick McDaniel,57,3.68,3.68,45.6,3.6,3.7,67,ok,5.0,0.42270329563349684,0.4354065912669937,0.41,0.655094568252463,0.4,0.0,0.7459357142857143,0.3760026737967914,0.82,0.0
45,CAP4053 - University of Florida,CAP4053,University of Florida,4.3,8,0.85,0.73,1.0,0.88,0.5,1.0,scraped,2020,8,jeremiah blanchard,8,4.25,3.62,87.5,4.0,3.8,95,ok,18.0,0.4926923035235191,0.4435664252288565,0.5418181818181818,0.43612337765115544,0.40343915343915343,0.3888888888888889,0.7262136955393534,0.26316701062573095,0.72,0.36363636363636365
46,CH1020 - Worcester Polytechnic Institute,CH1020,Worcester Polytechnic Institute,3.5,54,0.71,0.62,0.84,0.62,0.27,0.73,scraped,2020,55,Uma Kumar & Bruce Bursten & George Kaminski & Drew Brodeur & Elizabeth Bafaro,91,3.57,3.59,50.5,3.9,2.9,77,ok,5.0,0.34966130952380947,0.359322619047619,0.34,0.6799999999999999,0.0,0.0,0.7330416666666666,0.38357142857142856,0.68,0.0
47,CIS3550 - Baruch College,CIS3550,Baruch College,3.0,15,0.6,0.75,1.0,0.75,0.73,0.75,scraped,2020,5,Michael Whiteman,5,5.0,3.0,100.0,5.0,3.0,6,,,,,,,,,,,,
48,CISC3130 - Brooklyn College,CISC3130,Brooklyn College,3.4,39,0.67,0.64,0.78,0.74,0.33,0.73,scraped,2020,11,Katherine Chuang,12,2.17,3.0,33.3,2.4,3.4,59,ok,29.0,0.5305532775061675,0.4719540126394537,0.5891525423728814,0.6844463510075323,0.3448275862068966,0.034482758620689655,0.7860332794080109,0.5099800879541391,0.78,0.3983050847457627
49,EK307 - Boston University,EK307,Boston University,2.5,40,0.5,0.72,1.0,0.82,0.25,0.75,scraped,2020,4,Mark Horenstein,13,4.08,3.46,15.4,4.2,3.3,20,ok,17.0,0.5649312296964482,0.4286124593928964,0.7012499999999999,0.6907087747354547,0.026298589611283115,0.0,0.7491944281891073,0.6768605044286369,0.84,0.5625
50,CS1331 - Georgia Institute of Technology,CS1331,Georgia Institute of Technology,2.9,235,0.58,0.68,0.9,0.88,0.07,0.95,scraped,2019,40,Christopher Simpkins,47,3.83,2.85,57.4,3.7,2.7,65,ok,24.0,0.5462752091371601,0.5161867819106838,0.5763636363636364,0.8881668295600657,0.30357142857142855,0.08333333333333333,0.7256891647976206,0.5801731532909706,0.68,0.4727272727272727
51,CS200 - University of Wisconsin-Madison,CS200,University of Wisconsin-Madison,4.0,33,0.79,0.62,0.96,0.62,0.45,0.87,scraped,2019,6,Sam Vinitsky,6,4.67,4.17,100.0,4.7,4.2,6,,,,,,,,,,,,
52,CSE307 - Stony Brook University,CSE307,Stony Brook University,1.0,4,0.2,1.0,0.5,1.0,1.0,0.5,scraped,2019,44,Paul Fodor,48,4.9,3.17,89.6,4.8,2.9,339,ok,15.0,0.48711566424159836,0.4000522240055849,0.5741791044776119,0.7055228867410045,0.10194328910015187,0.06666666666666667,0.7264230229496452,0.39970525457045575,0.82,0.3283582089552239
53,COMP411 - University of North Carolina at Chapel Hill,COMP411,University of North Carolina at Chapel Hill,2.9,13,0.58,0.8,0.86,0.85,0.15,0.46,scraped,2018,8,Donald Porter,8,3.0,3.62,37.5,3.8,4.2,27,ok,20.0,0.5383709181725814,0.43428281995172024,0.6424590163934426,0.7462133805207701,0.13789949371757154,0.05,0.7429660529446711,0.49433517257558873,0.83,0.45491803278688525
54,"CS64 - University of California, Santa Barbara",CS64,"University of California, Santa Barbara",3.1,16,0.63,0.53,1.0,0.53,0.4,0.56,scraped,2018,14,Ziad Matni,16,3.12,2.62,56.2,4.1,3.0,126,ok,16.0,0.49702502349035593,0.4003463432770081,0.5937037037037037,0.6128662477681697,0.08973303266781528,0.0,0.7564275125613407,0.5427049233877148,0.78,0.4074074074074074
55,COSC175 - Towson University,COSC175,Towson University,4.5,51,0.89,0.46,0.88,0.46,0.52,1.0,scraped,2016,26,Blair Taylor,85,4.25,2.67,7.1,4.2,2.8,161,ok,8.0,0.49017716190134547,0.38853614198450914,0.5918181818181818,0.44687670206971675,0.33194444444444443,0.0,0.7534781813852114,0.4103813820231731,0.82,0.36363636363636365
56,CSC180 - University of Toronto,CSC180,University of Toronto,4.9,11,0.98,0.55,1.0,0.55,0.5,1.0,scraped,2016,9,Michael Guerzhoy,11,4.91,2.73,72.7,3.8,3.0,59,,,,,,,,,,,,
57,CSE215 - Stony Brook University,CSE215,Stony Brook University,2.4,55,0.47,0.79,0.71,0.79,0.14,0.37,scraped,2016,33,Paul Fodor,41,4.88,2.54,12.2,4.8,2.9,339,ok,13.0,0.5662368227137,0.49450067245442714,0.637972972972973,0.8174080704403044,0.33974358974358976,0.0,0.7409473316437738,0.574404370444468,0.83,0.44594594594594594
58,CHE220 - Penn State University,CHE220,Penn State University,2.5,21,0.5,0.88,0.86,0.88,0.25,0.33,scraped,2015,10,Themis Matsoukas,13,4.38,3.08,30.8,4.1,3.0,39,ok,23.0,0.5107747332276151,0.4228702211722113,0.5986792452830189,0.7010839021136503,0.021739130434782608,0.0,0.7014049796466676,0.6901230936659561,0.82,0.37735849056603776
59,ENSC251 - Simon Fraser University,ENSC251,Simon Fraser University,1.6,8,0.33,0.7,1.0,0.95,0.5,0.4,scraped,2015,11,Lesley Shannon,11,1.55,4.64,0.0,2.5,3.7,36,ok,12.0,0.48817907855125003,0.43024704599138897,0.5461111111111111,0.7920445508089187,0.12037037037037036,0.0,0.7218159649154315,0.5170043438622242,0.72,0.37222222222222223
60,COMP557 - McGill University,COMP557,McGill University,4.2,31,0.83,0.71,1.0,0.76,0.14,1.0,scraped,2015,4,Michael Langer,8,4.12,3.88,0.0,3.9,3.4,89,ok,24.0,0.4514786878315036,0.39716298313964266,0.5057943925233644,0.7114167074851987,0.0651701239936534,0.0,0.7243223632938891,0.4849057209254721,0.82,0.19158878504672897
61,ITI1120 - University of Ottawa,ITI1120,University of Ottawa,4.0,44,0.8,0.53,0.86,0.53,0.3,1.0,scraped,2014,9,Diana Inkpen,15,3.07,2.27,0.0,3.2,2.4,58,,,,,,,,,,,,
62,BNFO135 - New Jersey Institute of Technology,BNFO135,New Jersey Institute of Technology,4.3,4,0.85,0.65,0.5,0.65,0.5,0.5,scraped,2012,4,Usman Roshan,4,4.25,3.25,0.0,2.4,3.7,37,,,,,,,,,,,,
63,CISC1600 - Brooklyn College,CISC1600,Brooklyn College,3.2,5,0.64,0.64,1.0,0.64,0.4,0.33,scraped,2012,7,Matthew Meyer,7,4.71,2.71,0.0,4.6,2.7,15,,,,,,,,,,,,
64,BUEC333 - Simon Fraser University,BUEC333,Simon Fraser University,4.0,48,0.8,0.63,0.5,0.63,0.14,1.0,scraped,2011,4,Simon D. Woodcock,17,4.12,3.12,5.9,3.9,2.8,35,,,,,,,,,,,,
65,ECON2030 - Auburn University,ECON2030,Auburn University,3.5,105,0.69,0.62,0.93,0.82,0.31,0.89,scraped,2011,12,Roger W. Garrison,45,2.87,3.38,0.0,3.0,3.2,83,ok,27.0,0.5057986636118637,0.46486655799295806,0.5467307692307692,0.6982295259843943,0.2718855218855219,0.037037037037037035,0.68815475678268,0.629025948275157,0.68,0.41346153846153844
66,CSE342 - Lehigh University,CSE342,Lehigh University,3.0,5,0.6,0.76,0.5,0.76,0.0,0.5,scraped,2010,4,Mooi C. Chuah,5,3.0,3.8,0.0,3.0,3.7,25,,,,,,,,,,,,
67,EE230 - Iowa State University,EE230,Iowa State University,2.5,71,0.51,0.78,0.76,1.0,0.41,0.91,scraped,2010,4,Randy Geiger,5,3.4,5.0,0.0,3.0,4.5,39,ok,41.0,0.5891398330895081,0.4406281510275013,0.7376515151515151,0.7326154912359528,0.04209169803183001,0.024390243902439025,0.7426122366064423,0.6614310853608422,0.82,0.6553030303030303
68,CEG402 - Wright State University,CEG402,Wright State University,2.5,7,0.49,0.77,0.5,0.77,0.5,0.5,scraped,2006,4,Bin Wang,7,2.57,3.86,0.0,2.7,3.5,19,ok,5.0,0.5224964120830791,0.41135646052979463,0.6336363636363636,0.7982790511802267,0.11710139124426859,0.0,0.7641099496774302,0.3772919105470477,0.84,0.42727272727272725
69,COMS207 - Iowa State University,COMS207,Iowa State University,3.5,11,0.71,0.69,1.0,0.69,0.75,1.0,scraped,2006,5,Alexander Stoytchev,5,3.8,3.6,0.0,4.6,3.4,85,,,,,,,,,,,,
70,CS1502 - University of Pittsburgh,CS1502,University of Pittsburgh,4.7,58,0.93,0.71,0.86,0.71,0.11,1.0,scraped,2006,4,George Novacky,8,4.75,2.38,0.0,4.0,2.8,58,ok,17.0,0.46089437985552695,0.37909645201874614,0.5426923076923077,0.43448349036584333,0.07352941176470588,0.0,0.7283648943578422,0.6591044636053393,0.72,0.36538461538461536
71,CSCI3022 - University of Colorado Boulder,CSCI3022,University of Colorado Boulder,3.0,31,0.59,0.83,0.88,0.83,0.8,1.0,scraped,2021,4,Murray William Cox,4,3.75,3.25,75.0,3.2,3.8,79,ok,26.0,0.5761674801505495,0.46676677848291726,0.6855681818181818,0.7664704380190209,0.1486673049173049,0.0,0.7256837507555811,0.6930123987226791,0.82,0.5511363636363636
72,MACM101 - Simon Fraser University,MACM101,Simon Fraser University,3.2,108,0.64,0.81,0.77,0.81,0.55,0.97,scraped,2016,7,Ramesh Krishnamurti,7,1.86,2.86,0.0,2.2,3.4,55,ok,28.0,0.6487104654970823,0.6234349170081506,0.673986013986014,0.923469387755102,0.6488095238095238,0.10714285714285714,0.744317410093408,0.693435406239862,0.82,0.527972027972028
73,CS6360 - University of Texas at Dallas,CS6360,University of Texas at Dallas,3.7,10,0.74,0.74,1.0,0.74,0.71,0.5,scraped,2019,20,Murat Kantarcioglu,23,2.17,4.39,21.7,2.4,4.3,28,ok,17.0,0.3817231498859314,0.2883111646367277,0.47513513513513517,0.4121272415279209,0.032773109243697474,0.0,0.6012191770647654,0.39543629534725466,0.68,0.2702702702702703
