folder,course_college,course_code,college_name,ccr_url,ccr_star_rating,ccr_num_reviews,ccr_student_satisfaction,ccr_challenge_level,ccr_grade_accessibility,ccr_time_investment,ccr_attendance_importance,ccr_recommendation_rate,ccr_source
23,CSCI567 - University of Southern California,CSCI567,University of Southern California,https://collegeclassreviews.com/universities/university-of-southern-california/courses/csci567,3.8,22,0.75,0.82,1.0,0.97,0.0,0.79,scraped
24,DSCI553 - University of Southern California,DSCI553,University of Southern California,https://collegeclassreviews.com/universities/university-of-southern-california/courses/dsci553,1.6,50,0.32,0.95,0.67,1.0,0.31,0.6,scraped
25,3DB3 - McMaster University,3DB3,McMaster University,https://collegeclassreviews.com/universities/mcmaster-university/courses/3db3,1.0,16,0.2,0.84,0.67,0.84,0.08,0.07,scraped
26,CS442 - Penn State University,CS442,Penn State University,https://collegeclassreviews.com/universities/penn-state-university/courses/cs442,3.4,6,0.67,0.77,1.0,0.77,0.0,1.0,scraped
27,ECE560 - Duke University,ECE560,Duke University,https://collegeclassreviews.com/universities/duke-university/courses/ece560,5.0,5,1.0,0.52,1.0,0.52,0.0,1.0,scraped
28,CISC3171 - Brooklyn College,CISC3171,Brooklyn College,https://collegeclassreviews.com/universities/brooklyn-college/courses/cisc3171,4.3,4,0.85,0.3,1.0,0.3,0.0,1.0,scraped
29,COSC1306 - University of Houston,COSC1306,University of Houston,https://collegeclassreviews.com/universities/university-of-houston/courses/cosc1306,2.4,24,0.48,0.64,0.88,0.64,0.62,0.41,scraped
30,CS15112 - Carnegie Mellon University,CS15112,Carnegie Mellon University,https://collegeclassreviews.com/universities/carnegie-mellon-university/courses/cs15112,4.1,25,0.82,0.71,0.94,0.86,0.71,0.86,scraped
31,CX4220 - Georgia Institute of Technology,CX4220,Georgia Institute of Technology,https://collegeclassreviews.com/universities/georgia-tech/courses/cx4220,3.0,4,0.6,0.95,1.0,0.95,0.0,1.0,scraped
32,CS104 - University of Southern California,CS104,University of Southern California,https://collegeclassreviews.com/universities/university-of-southern-california/courses/cs104,4.3,30,0.86,0.82,1.0,0.82,0.17,1.0,scraped
33,CS4450 - Cornell University,CS4450,Cornell University,https://collegeclassreviews.com/universities/cornell-university/courses/cs4450,3.9,6,0.77,0.63,0.8,0.63,0.83,1.0,scraped
34,CSC241 - DePaul University,CSC241,DePaul University,https://collegeclassreviews.com/universities/depaul-university/courses/csc241,3.9,87,0.78,0.58,0.87,0.58,0.47,0.92,scraped
35,COMP251 - McGill University,COMP251,McGill University,https://collegeclassreviews.com/universities/mcgill-university/courses/comp251,3.4,12,0.67,0.8,0.5,0.8,0.1,1.0,scraped
36,CS6375 - University of Texas at Dallas,CS6375,University of Texas at Dallas,https://collegeclassreviews.com/universities/university-of-texas-at-dallas/courses/cs6375,4.2,34,0.84,0.86,0.96,0.86,0.23,0.95,scraped
37,CSCIE109B - Harvard University,CSCIE109B,Harvard University,https://collegeclassreviews.com/universities/harvard-university/courses/cscie109b,4.0,8,0.8,0.63,1.0,0.63,0.25,0.86,scraped
38,CALC2202 - Kennesaw State University,CALC2202,Kennesaw State University,https://collegeclassreviews.com/universities/kennesaw-state-university/courses/calc2202,4.5,12,0.9,0.62,1.0,0.62,0.5,1.0,scraped
39,"CMPSC16 - University of California, Santa Barbara",CMPSC16,"University of California, Santa Barbara",https://collegeclassreviews.com/universities/uc-santa-barbara/courses/cmpsc16,5.0,8,1.0,0.65,1.0,0.65,0.43,1.0,scraped
40,CS4320 - Cornell University,CS4320,Cornell University,https://collegeclassreviews.com/universities/cornell-university/courses/cs4320,3.2,15,0.64,0.56,0.92,0.61,0.0,0.62,scraped
41,"CSC134 - California State University, Sacramento",CSC134,"California State University, Sacramento",https://collegeclassreviews.com/universities/cal-state-sacramento/courses/csc134,4.5,25,0.9,0.5,0.95,0.5,0.32,0.96,scraped
42,CSI1430 - Baylor University,CSI1430,Baylor University,https://collegeclassreviews.com/universities/baylor-university/courses/csi1430,4.2,5,0.84,0.6,0.0,0.6,1.0,0.0,scraped
43,MIS3690 - Babson College,OIM3690,Babson College,https://collegeclassreviews.com/universities/babson-college/courses/mis3690,3.5,7,0.71,0.51,1.0,0.51,0.6,0.6,scraped
44,CMPSC311 - Penn State University,CMPSC311,Penn State University,https://collegeclassreviews.com/universities/penn-state-university/courses/cmpsc311,5.0,5,1.0,0.56,0.67,0.56,0.0,1.0,scraped
45,CAP4053 - University of Florida,CAP4053,University of Florida,https://collegeclassreviews.com/universities/university-of-florida/courses/cap4053,4.3,8,0.85,0.73,1.0,0.88,0.5,1.0,scraped
46,CH1020 - Worcester Polytechnic Institute,CH1020,Worcester Polytechnic Institute,https://collegeclassreviews.com/universities/worcester-polytechnic-institute/courses/ch1020,3.5,54,0.71,0.62,0.84,0.62,0.27,0.73,scraped
47,CIS3550 - Baruch College,CIS3550,Baruch College,https://collegeclassreviews.com/universities/baruch-college/courses/cis3550,3.0,15,0.6,0.75,1.0,0.75,0.73,0.75,scraped
48,CISC3130 - Brooklyn College,CISC3130,Brooklyn College,https://collegeclassreviews.com/universities/brooklyn-college/courses/cisc3130,3.4,39,0.67,0.64,0.78,0.74,0.33,0.73,scraped
49,EK307 - Boston University,EK307,Boston University,https://collegeclassreviews.com/universities/boston-university/courses/ek307,2.5,40,0.5,0.72,1.0,0.82,0.25,0.75,scraped
50,CS1331 - Georgia Institute of Technology,CS1331,Georgia Institute of Technology,https://collegeclassreviews.com/universities/georgia-tech/courses/cs1331,2.9,235,0.58,0.68,0.9,0.88,0.07,0.95,scraped
51,CS200 - University of Wisconsin-Madison,CS200,University of Wisconsin-Madison,https://collegeclassreviews.com/universities/university-of-wisconsin-madison/courses/cs200,4.0,33,0.79,0.62,0.96,0.62,0.45,0.87,scraped
52,CSE307 - Stony Brook University,CSE307,Stony Brook University,https://collegeclassreviews.com/universities/stony-brook-university/courses/cse307,1.0,4,0.2,1.0,0.5,1.0,1.0,0.5,scraped
53,COMP411 - University of North Carolina at Chapel Hill,COMP411,University of North Carolina at Chapel Hill,https://collegeclassreviews.com/universities/university-of-north-carolina-at-chapel-hill/courses/comp411,2.9,13,0.58,0.8,0.86,0.85,0.15,0.46,scraped
54,"CS64 - University of California, Santa Barbara",CS64,"University of California, Santa Barbara",https://collegeclassreviews.com/universities/uc-santa-barbara/courses/cs64,3.1,16,0.63,0.53,1.0,0.53,0.4,0.56,scraped
55,COSC175 - Towson University,COSC175,Towson University,https://collegeclassreviews.com/universities/towson-university/courses/cosc175,4.5,51,0.89,0.46,0.88,0.46,0.52,1.0,scraped
56,CSC180 - University of Toronto,CSC180,University of Toronto,https://collegeclassreviews.com/universities/university-of-toronto/courses/csc180,4.9,11,0.98,0.55,1.0,0.55,0.5,1.0,scraped
57,CSE215 - Stony Brook University,CSE215,Stony Brook University,https://collegeclassreviews.com/universities/stony-brook-university/courses/cse215,2.4,55,0.47,0.79,0.71,0.79,0.14,0.37,scraped
58,CHE220 - Penn State University,CHE220,Penn State University,https://collegeclassreviews.com/universities/penn-state-university/courses/che220,2.5,21,0.5,0.88,0.86,0.88,0.25,0.33,scraped
59,ENSC251 - Simon Fraser University,ENSC251,Simon Fraser University,https://collegeclassreviews.com/universities/simon-fraser-university/courses/ensc251,1.6,8,0.33,0.7,1.0,0.95,0.5,0.4,scraped
60,COMP557 - McGill University,COMP557,McGill University,https://collegeclassreviews.com/universities/mcgill-university/courses/comp557,4.2,31,0.83,0.71,1.0,0.76,0.14,1.0,scraped
61,ITI1120 - University of Ottawa,ITI1120,University of Ottawa,https://collegeclassreviews.com/universities/university-of-ottawa/courses/iti1120,4.0,44,0.8,0.53,0.86,0.53,0.3,1.0,scraped
62,BNFO135 - New Jersey Institute of Technology,BNFO135,New Jersey Institute of Technology,https://collegeclassreviews.com/universities/new-jersey-institute-of-technology/courses/bnfo135,4.3,4,0.85,0.65,0.5,0.65,0.5,0.5,scraped
63,CISC1600 - Brooklyn College,CISC1600,Brooklyn College,https://collegeclassreviews.com/universities/brooklyn-college/courses/cisc1600,3.2,5,0.64,0.64,1.0,0.64,0.4,0.33,scraped
64,BUEC333 - Simon Fraser University,BUEC333,Simon Fraser University,https://collegeclassreviews.com/universities/simon-fraser-university/courses/buec333,4.0,48,0.8,0.63,0.5,0.63,0.14,1.0,scraped
65,ECON2030 - Auburn University,ECON2030,Auburn University,https://collegeclassreviews.com/universities/auburn-university/courses/econ2030,3.5,105,0.69,0.62,0.93,0.82,0.31,0.89,scraped
66,CSE342 - Lehigh University,CSE342,Lehigh University,https://collegeclassreviews.com/universities/lehigh-university/courses/cse342,3.0,5,0.6,0.76,0.5,0.76,0.0,0.5,scraped
67,EE230 - Iowa State University,EE230,Iowa State University,https://collegeclassreviews.com/universities/iowa-state-university/courses/ee230,2.5,71,0.51,0.78,0.76,1.0,0.41,0.91,scraped
68,CEG402 - Wright State University,CEG402,Wright State University,https://collegeclassreviews.com/universities/wright-state-university/courses/ceg402,2.5,7,0.49,0.77,0.5,0.77,0.5,0.5,scraped
69,COMS207 - Iowa State University,COMS207,Iowa State University,https://collegeclassreviews.com/universities/iowa-state-university/courses/coms207,3.5,11,0.71,0.69,1.0,0.69,0.75,1.0,scraped
70,CS1502 - University of Pittsburgh,CS1502,University of Pittsburgh,https://collegeclassreviews.com/universities/university-of-pittsburgh/courses/cs1502,4.7,58,0.93,0.71,0.86,0.71,0.11,1.0,scraped
71,CSCI3022 - University of Colorado Boulder,CSCI3022,University of Colorado Boulder,https://collegeclassreviews.com/universities/university-of-colorado-boulder/courses/csci3022,3.0,31,0.59,0.83,0.88,0.83,0.8,1.0,scraped
72,MACM101 - Simon Fraser University,MACM101,Simon Fraser University,https://collegeclassreviews.com/universities/simon-fraser-university/courses/macm101,3.2,108,0.64,0.81,0.77,0.81,0.55,0.97,scraped
73,CS6360 - University of Texas at Dallas,CS6360,University of Texas at Dallas,https://collegeclassreviews.com/universities/university-of-texas-at-dallas/courses/cs6360,3.7,10,0.74,0.74,1.0,0.74,0.71,0.5,scraped
