gpt_metric,other,r,p_raw,q_bh,p_holm
visual_documentation,sum_cognitive_load_management,,0.364,0.721,1.0
visual_documentation,sum_self_containment,0.308,0.0187,0.1886,1.0
visual_documentation,st3_complexity_pacing,,0.146,0.4517,1.0
visual_documentation,st3_concept_progression,,0.8308,0.9662,1.0
visual_documentation,st3_cross_lecture_reinforcement,,0.499,0.807,1.0
visual_documentation,st3_curriculum_coherence,,0.9209,0.9801,1.0
visual_documentation,st3_integration_synthesis,,0.4326,0.7525,1.0
visual_documentation,st3_prerequisite_self_containment,,0.9316,0.9813,1.0
visual_documentation,st3_terminology_consistency,,0.6255,0.8772,1.0
visual_documentation,rmp_would_take_again,,0.7044,0.8949,1.0
visual_appeal,Lecturer,,0.6609,0.8945,1.0
visual_appeal,Course,,0.9365,0.9813,1.0
visual_appeal,Materials,,0.6665,0.8945,1.0
visual_appeal,Support,,0.9131,0.9784,1.0
visual_appeal,Grading,,0.1953,0.5151,1.0
visual_appeal,ccr_star_rating,,0.752,0.9236,1.0
visual_appeal,ccr_num_reviews,,0.0515,0.2879,1.0
visual_appeal,ccr_student_satisfaction,,0.7716,0.9259,1.0
visual_appeal,ccr_challenge_level,,0.2641,0.6041,1.0
visual_appeal,ccr_time_investment,,0.1793,0.4901,1.0
visual_appeal,ccr_attendance_importance,,0.6261,0.8772,1.0
visual_appeal,ccr_recommendation_rate,,0.2805,0.6244,1.0
visual_appeal,ccr_grade_accessibility,,0.4967,0.8064,1.0
visual_appeal,rmp_avg_rating,,0.5622,0.8653,1.0
visual_appeal,rmp_avg_difficulty,,0.6786,0.8945,1.0
visual_appeal,rmp_num_ratings,,0.2079,0.5307,1.0
visual_appeal,asp_conceptual_clarity,,0.5244,0.8318,1.0
visual_appeal,asp_organization_flow,,0.7947,0.94,1.0
visual_appeal,asp_learning_materials_quality,,0.8429,0.9702,1.0
visual_appeal,asp_cognitive_load,,0.7089,0.8949,1.0
visual_appeal,asp_assessment_alignment,,0.1823,0.4933,1.0
visual_appeal,rev_slides_sufficiency,,0.64,0.8862,1.0
visual_appeal,rev_textbook_dependence,,0.3491,0.7135,1.0
visual_appeal,rev_external_resources,,0.8803,0.9744,1.0
visual_appeal,rev_prerequisite_struggle,,0.673,0.8945,1.0
visual_appeal,rev_pace_pressure,,0.4909,0.8033,1.0
visual_appeal,rev_cumulative_review,,0.9874,0.9971,1.0
visual_appeal,rev_exam_lecture_alignment,,0.5324,0.8394,1.0
visual_appeal,rev_attendance_expectation,,0.4026,0.7375,1.0
visual_appeal,sum_conceptual_clarity,,0.0868,0.3783,1.0
visual_appeal,sum_visual_grounding,,0.1079,0.4155,1.0
visual_appeal,sum_example_support,,0.1371,0.4468,1.0
visual_appeal,sum_organization_flow,,0.7831,0.9333,1.0
visual_appeal,sum_concept_reinforcement,,0.0962,0.4002,1.0
visual_appeal,sum_motivation_relevance,,0.188,0.5025,1.0
visual_appeal,sum_instructional_visual_richness,,0.7392,0.9183,1.0
visual_appeal,sum_cognitive_load_management,0.5915,0.0,0.0001,0.0004
visual_appeal,sum_self_containment,,0.8662,0.9702,1.0
visual_appeal,st3_complexity_pacing,,0.1976,0.5177,1.0
visual_appeal,st3_concept_progression,,0.3532,0.7135,1.0
visual_appeal,st3_cross_lecture_reinforcement,,0.6068,0.8772,1.0
visual_appeal,st3_curriculum_coherence,,0.947,0.9873,1.0
visual_appeal,st3_integration_synthesis,,0.6239,0.8772,1.0
visual_appeal,st3_prerequisite_self_containment,,0.9783,0.9949,1.0
visual_appeal,st3_terminology_consistency,,0.3667,0.7228,1.0
visual_appeal,rmp_would_take_again,,0.2419,0.5807,1.0
prerequisite,Lecturer,,0.5069,0.8166,1.0
prerequisite,Course,,0.3054,0.6624,1.0
prerequisite,Materials,,0.6305,0.8772,1.0
prerequisite,Support,,0.314,0.6737,1.0
prerequisite,Grading,,0.7022,0.8949,1.0
prerequisite,ccr_star_rating,-0.2986,0.0228,0.2053,1.0
prerequisite,ccr_num_reviews,0.3304,0.0113,0.1317,1.0
prerequisite,ccr_student_satisfaction,-0.2955,0.0243,0.2058,1.0
prerequisite,ccr_challenge_level,0.3324,0.0108,0.1317,1.0
prerequisite,ccr_time_investment,0.3625,0.0052,0.089,1.0
prerequisite,ccr_attendance_importance,,0.856,0.9702,1.0
prerequisite,ccr_recommendation_rate,,0.4121,0.7465,1.0
prerequisite,ccr_grade_accessibility,,0.1476,0.4526,1.0
prerequisite,rmp_avg_rating,,0.2109,0.5324,1.0
prerequisite,rmp_avg_difficulty,,0.4464,0.7669,1.0
prerequisite,rmp_num_ratings,,0.6922,0.8945,1.0
prerequisite,asp_conceptual_clarity,,0.8719,0.9703,1.0
prerequisite,asp_organization_flow,,0.6697,0.8945,1.0
prerequisite,asp_learning_materials_quality,,0.9805,0.9949,1.0
prerequisite,asp_cognitive_load,,0.8377,0.9702,1.0
prerequisite,asp_assessment_alignment,,0.6178,0.8772,1.0
prerequisite,rev_slides_sufficiency,,0.4382,0.7559,1.0
prerequisite,rev_textbook_dependence,,0.7687,0.9256,1.0
prerequisite,rev_external_resources,,0.4162,0.7465,1.0
prerequisite,rev_prerequisite_struggle,,0.4354,0.7542,1.0
prerequisite,rev_pace_pressure,,0.4642,0.7812,1.0
prerequisite,rev_cumulative_review,,0.693,0.8945,1.0
prerequisite,rev_exam_lecture_alignment,,0.6501,0.8937,1.0
prerequisite,rev_attendance_expectation,,0.6314,0.8772,1.0
prerequisite,sum_conceptual_clarity,0.3846,0.0029,0.0602,1.0
prerequisite,sum_visual_grounding,,0.0902,0.3849,1.0
prerequisite,sum_example_support,,0.1273,0.4449,1.0
prerequisite,sum_organization_flow,,0.4185,0.7465,1.0
prerequisite,sum_concept_reinforcement,0.3426,0.0085,0.121,1.0
prerequisite,sum_motivation_relevance,,0.2244,0.5531,1.0
prerequisite,sum_instructional_visual_richness,,0.9365,0.9813,1.0
prerequisite,sum_cognitive_load_management,,0.7408,0.9183,1.0
prerequisite,sum_self_containment,,0.1121,0.4181,1.0
prerequisite,st3_complexity_pacing,,0.1772,0.4901,1.0
prerequisite,st3_concept_progression,,0.4236,0.7465,1.0
prerequisite,st3_cross_lecture_reinforcement,0.3435,0.0083,0.121,1.0
prerequisite,st3_curriculum_coherence,,0.1725,0.4891,1.0
prerequisite,st3_integration_synthesis,0.3658,0.0047,0.0859,1.0
prerequisite,st3_prerequisite_self_containment,0.2757,0.0362,0.2608,1.0
prerequisite,st3_terminology_consistency,,0.6094,0.8772,1.0
prerequisite,rmp_would_take_again,,0.0558,0.2984,1.0
progression,Lecturer,,0.4637,0.7812,1.0
progression,Course,,0.9,0.9754,1.0
progression,Materials,,0.597,0.8772,1.0
progression,Support,,0.9076,0.9784,1.0
progression,Grading,,0.63,0.8772,1.0
progression,ccr_star_rating,-0.26,0.0487,0.284,1.0
progression,ccr_num_reviews,-0.2661,0.0435,0.2694,1.0
progression,ccr_student_satisfaction,-0.2643,0.045,0.2697,1.0
progression,ccr_challenge_level,0.391,0.0024,0.0555,0.9577
progression,ccr_time_investment,,0.062,0.313,1.0
progression,ccr_attendance_importance,,0.8571,0.9702,1.0
progression,ccr_recommendation_rate,,0.6874,0.8945,1.0
progression,ccr_grade_accessibility,-0.2705,0.04,0.2671,1.0
progression,rmp_avg_rating,,0.9714,0.9949,1.0
progression,rmp_avg_difficulty,,0.1417,0.4477,1.0
progression,rmp_num_ratings,,0.1321,0.4449,1.0
progression,asp_conceptual_clarity,,0.625,0.8772,1.0
progression,asp_organization_flow,,0.8029,0.9417,1.0
progression,asp_learning_materials_quality,,0.6218,0.8772,1.0
progression,asp_cognitive_load,,0.8873,0.9744,1.0
progression,asp_assessment_alignment,,0.9654,0.9949,1.0
progression,rev_slides_sufficiency,,0.1412,0.4477,1.0
progression,rev_textbook_dependence,,0.4142,0.7465,1.0
progression,rev_external_resources,,0.1659,0.4772,1.0
progression,rev_prerequisite_struggle,,0.8988,0.9754,1.0
progression,rev_pace_pressure,,0.3957,0.7346,1.0
progression,rev_cumulative_review,,0.3835,0.7245,1.0
progression,rev_exam_lecture_alignment,,0.5218,0.8318,1.0
progression,rev_attendance_expectation,,0.2303,0.5607,1.0
progression,sum_conceptual_clarity,0.2591,0.0496,0.285,1.0
progression,sum_visual_grounding,,0.1103,0.4155,1.0
progression,sum_example_support,,0.0845,0.3762,1.0
progression,sum_organization_flow,,0.1799,0.4901,1.0
progression,sum_concept_reinforcement,,0.5781,0.8743,1.0
progression,sum_motivation_relevance,,0.1401,0.4477,1.0
progression,sum_instructional_visual_richness,,0.0968,0.4002,1.0
progression,sum_cognitive_load_management,,0.3733,0.7237,1.0
progression,sum_self_containment,,0.0678,0.3342,1.0
progression,st3_complexity_pacing,,0.1017,0.4047,1.0
progression,st3_concept_progression,0.3309,0.0112,0.1317,1.0
progression,st3_cross_lecture_reinforcement,,0.5338,0.8394,1.0
progression,st3_curriculum_coherence,0.2829,0.0314,0.2454,1.0
progression,st3_integration_synthesis,,0.9107,0.9784,1.0
progression,st3_prerequisite_self_containment,,0.3497,0.7135,1.0
progression,st3_terminology_consistency,,0.6712,0.8945,1.0
progression,rmp_would_take_again,,0.5582,0.8623,1.0
long_term_recall,Lecturer,,0.496,0.8064,1.0
long_term_recall,Course,,0.4814,0.7941,1.0
long_term_recall,Materials,,0.0767,0.3529,1.0
long_term_recall,Support,,0.7925,0.94,1.0
long_term_recall,Grading,,0.754,0.9236,1.0
long_term_recall,ccr_star_rating,,0.0569,0.2984,1.0
long_term_recall,ccr_num_reviews,,0.0602,0.3079,1.0
long_term_recall,ccr_student_satisfaction,,0.0528,0.2913,1.0
long_term_recall,ccr_challenge_level,0.2749,0.0367,0.2608,1.0
long_term_recall,ccr_time_investment,0.3287,0.0118,0.1317,1.0
long_term_recall,ccr_attendance_importance,,0.6704,0.8945,1.0
long_term_recall,ccr_recommendation_rate,,0.4236,0.7465,1.0
long_term_recall,ccr_grade_accessibility,,0.2694,0.6064,1.0
long_term_recall,rmp_avg_rating,,0.2237,0.5531,1.0
long_term_recall,rmp_avg_difficulty,,0.2426,0.5807,1.0
long_term_recall,rmp_num_ratings,,0.2862,0.6335,1.0
long_term_recall,asp_conceptual_clarity,,0.4305,0.752,1.0
long_term_recall,asp_organization_flow,,0.0815,0.3709,1.0
long_term_recall,asp_learning_materials_quality,-0.2776,0.0349,0.258,1.0
long_term_recall,asp_cognitive_load,,0.9846,0.9967,1.0
long_term_recall,asp_assessment_alignment,,0.0982,0.4002,1.0
long_term_recall,rev_slides_sufficiency,,0.3701,0.7237,1.0
long_term_recall,rev_textbook_dependence,,0.9515,0.9873,1.0
long_term_recall,rev_external_resources,,0.1651,0.4772,1.0
long_term_recall,rev_prerequisite_struggle,,0.3553,0.7135,1.0
long_term_recall,rev_pace_pressure,,0.8471,0.9702,1.0
long_term_recall,rev_cumulative_review,,0.1663,0.4772,1.0
long_term_recall,rev_exam_lecture_alignment,,0.1336,0.4449,1.0
long_term_recall,rev_attendance_expectation,,0.7691,0.9256,1.0
long_term_recall,sum_conceptual_clarity,0.4181,0.0011,0.0376,0.4397
long_term_recall,sum_visual_grounding,,0.1454,0.4517,1.0
long_term_recall,sum_example_support,,0.1609,0.4758,1.0
long_term_recall,sum_organization_flow,,0.587,0.8772,1.0
long_term_recall,sum_concept_reinforcement,0.3524,0.0067,0.1028,1.0
long_term_recall,sum_motivation_relevance,,0.2364,0.5723,1.0
long_term_recall,sum_instructional_visual_richness,,0.2695,0.6064,1.0
long_term_recall,sum_cognitive_load_management,,0.0887,0.3827,1.0
long_term_recall,sum_self_containment,0.2814,0.0324,0.2482,1.0
long_term_recall,st3_complexity_pacing,,0.3297,0.6928,1.0
long_term_recall,st3_concept_progression,,0.5373,0.8394,1.0
long_term_recall,st3_cross_lecture_reinforcement,,0.5424,0.8443,1.0
long_term_recall,st3_curriculum_coherence,,0.5979,0.8772,1.0
long_term_recall,st3_integration_synthesis,,0.5364,0.8394,1.0
long_term_recall,st3_prerequisite_self_containment,,0.5944,0.8772,1.0
long_term_recall,st3_terminology_consistency,,0.3056,0.6624,1.0
long_term_recall,rmp_would_take_again,,0.7483,0.9236,1.0
U,Lecturer,,0.1071,0.4155,1.0
U,Course,,0.0767,0.3529,1.0
U,Materials,,0.1462,0.4517,1.0
U,Support,,0.0925,0.3907,1.0
U,Grading,-0.266,0.0436,0.2694,1.0
U,ccr_star_rating,-0.2713,0.0394,0.2671,1.0
U,ccr_num_reviews,,0.385,0.7245,1.0
U,ccr_student_satisfaction,-0.2663,0.0434,0.2694,1.0
U,ccr_challenge_level,,0.0555,0.2984,1.0
U,ccr_time_investment,0.3254,0.0127,0.1383,1.0
U,ccr_attendance_importance,,0.8652,0.9702,1.0
U,ccr_recommendation_rate,,0.6804,0.8945,1.0
U,ccr_grade_accessibility,,0.5826,0.8743,1.0
U,rmp_avg_rating,,0.0843,0.3762,1.0
U,rmp_avg_difficulty,0.2954,0.0244,0.2058,1.0
U,rmp_num_ratings,,0.8842,0.9744,1.0
U,asp_conceptual_clarity,,0.209,0.5307,1.0
U,asp_organization_flow,,0.7627,0.9256,1.0
U,asp_learning_materials_quality,,0.9902,0.9972,1.0
U,asp_cognitive_load,,0.1309,0.4449,1.0
U,asp_assessment_alignment,,0.1036,0.4084,1.0
U,rev_slides_sufficiency,,0.9961,0.9978,1.0
U,rev_textbook_dependence,,0.9544,0.9878,1.0
U,rev_external_resources,,0.1305,0.4449,1.0
U,rev_prerequisite_struggle,,0.7152,0.8972,1.0
U,rev_pace_pressure,,0.3542,0.7135,1.0
U,rev_cumulative_review,,0.4587,0.7812,1.0
U,rev_exam_lecture_alignment,,0.0585,0.3029,1.0
U,rev_attendance_expectation,,0.4703,0.7819,1.0
U,sum_conceptual_clarity,,0.6005,0.8772,1.0
U,sum_visual_grounding,,0.1398,0.4477,1.0
U,sum_example_support,,0.2945,0.645,1.0
U,sum_organization_flow,,0.5892,0.8772,1.0
U,sum_concept_reinforcement,0.4027,0.0017,0.0483,0.6935
U,sum_motivation_relevance,0.5309,0.0,0.0011,0.0074
U,sum_instructional_visual_richness,0.6023,0.0,0.0001,0.0002
U,sum_cognitive_load_management,-0.2926,0.0258,0.2138,1.0
U,sum_self_containment,,0.4622,0.7812,1.0
U,st3_complexity_pacing,,0.9383,0.9813,1.0
U,st3_concept_progression,,0.8531,0.9702,1.0
U,st3_cross_lecture_reinforcement,0.3381,0.0094,0.126,1.0
U,st3_curriculum_coherence,,0.8694,0.9702,1.0
U,st3_integration_synthesis,,0.4774,0.7905,1.0
U,st3_prerequisite_self_containment,,0.89,0.9748,1.0
U,st3_terminology_consistency,,0.7647,0.9256,1.0
U,rmp_would_take_again,,0.9776,0.9949,1.0
Total,Lecturer,,0.0723,0.3402,1.0
Total,Course,-0.27,0.0404,0.2671,1.0
Total,Materials,,0.2,0.5207,1.0
Total,Support,,0.0644,0.3212,1.0
Total,Grading,-0.2688,0.0413,0.2671,1.0
Total,ccr_star_rating,-0.3297,0.0115,0.1317,1.0
Total,ccr_num_reviews,,0.8651,0.9702,1.0
Total,ccr_student_satisfaction,-0.3234,0.0133,0.1408,1.0
Total,ccr_challenge_level,0.2784,0.0344,0.258,1.0
Total,ccr_time_investment,0.3842,0.0029,0.0602,1.0
Total,ccr_attendance_importance,,0.5459,0.8465,1.0
Total,ccr_recommendation_rate,,0.4003,0.7372,1.0
Total,ccr_grade_accessibility,,0.2624,0.6035,1.0
Total,rmp_avg_rating,,0.0563,0.2984,1.0
Total,rmp_avg_difficulty,0.2852,0.03,0.2389,1.0
Total,rmp_num_ratings,,0.8177,0.9542,1.0
Total,asp_conceptual_clarity,,0.1946,0.5151,1.0
Total,asp_organization_flow,,0.7091,0.8949,1.0
Total,asp_learning_materials_quality,,0.6426,0.8868,1.0
Total,asp_cognitive_load,,0.0703,0.3385,1.0
Total,asp_assessment_alignment,,0.1085,0.4155,1.0
Total,rev_slides_sufficiency,,0.5235,0.8318,1.0
Total,rev_textbook_dependence,,0.6993,0.8949,1.0
Total,rev_external_resources,,0.1318,0.4449,1.0
Total,rev_prerequisite_struggle,,0.6936,0.8945,1.0
Total,rev_pace_pressure,,0.2575,0.6024,1.0
Total,rev_cumulative_review,,0.9924,0.9972,1.0
Total,rev_exam_lecture_alignment,,0.0722,0.3402,1.0
Total,rev_attendance_expectation,,0.3568,0.7135,1.0
Total,sum_conceptual_clarity,,0.207,0.5307,1.0
Total,sum_visual_grounding,0.3,0.0221,0.2036,1.0
Total,sum_example_support,,0.1769,0.4901,1.0
Total,sum_organization_flow,,0.7003,0.8949,1.0
Total,sum_concept_reinforcement,0.4882,0.0001,0.0052,0.0412
Total,sum_motivation_relevance,0.5422,0.0,0.0008,0.0045
Total,sum_instructional_visual_richness,0.5957,0.0,0.0001,0.0003
Total,sum_cognitive_load_management,-0.3022,0.0212,0.2036,1.0
Total,sum_self_containment,,0.9978,0.9978,1.0
Total,st3_complexity_pacing,,0.7537,0.9236,1.0
Total,st3_concept_progression,,0.8939,0.9754,1.0
Total,st3_cross_lecture_reinforcement,0.3656,0.0048,0.0859,1.0
Total,st3_curriculum_coherence,,0.8441,0.9702,1.0
Total,st3_integration_synthesis,,0.5828,0.8743,1.0
Total,st3_prerequisite_self_containment,,0.8844,0.9744,1.0
Total,st3_terminology_consistency,,0.7809,0.9333,1.0
Total,rmp_would_take_again,,0.8857,0.9744,1.0
violations,Lecturer,,0.3955,0.7346,1.0
violations,Course,,0.356,0.7135,1.0
violations,Materials,,0.2893,0.637,1.0
violations,Support,,0.4007,0.7372,1.0
violations,Grading,,0.3281,0.6928,1.0
violations,ccr_star_rating,,0.1343,0.4449,1.0
violations,ccr_num_reviews,-0.2651,0.0443,0.2697,1.0
violations,ccr_student_satisfaction,,0.1279,0.4449,1.0
violations,ccr_challenge_level,,0.1335,0.4449,1.0
violations,ccr_time_investment,,0.1257,0.4449,1.0
violations,ccr_attendance_importance,,0.3234,0.6901,1.0
violations,ccr_recommendation_rate,,0.6702,0.8945,1.0
violations,ccr_grade_accessibility,,0.9169,0.9784,1.0
violations,rmp_avg_rating,,0.3474,0.7135,1.0
violations,rmp_avg_difficulty,,0.137,0.4468,1.0
violations,rmp_num_ratings,,0.5939,0.8772,1.0
violations,asp_conceptual_clarity,,0.3838,0.7245,1.0
violations,asp_organization_flow,,0.613,0.8772,1.0
violations,asp_learning_materials_quality,,0.6159,0.8772,1.0
violations,asp_cognitive_load,,0.1522,0.4549,1.0
violations,asp_assessment_alignment,,0.4693,0.7819,1.0
violations,rev_slides_sufficiency,,0.732,0.9129,1.0
violations,rev_textbook_dependence,,0.797,0.94,1.0
violations,rev_external_resources,,0.3925,0.7346,1.0
violations,rev_prerequisite_struggle,,0.6103,0.8772,1.0
violations,rev_pace_pressure,,0.4533,0.7755,1.0
violations,rev_cumulative_review,,0.652,0.8937,1.0
violations,rev_exam_lecture_alignment,,0.4688,0.7819,1.0
violations,rev_attendance_expectation,,0.9718,0.9949,1.0
violations,sum_conceptual_clarity,,0.9778,0.9949,1.0
violations,sum_visual_grounding,,0.2801,0.6244,1.0
violations,sum_example_support,,0.4851,0.797,1.0
violations,sum_organization_flow,,0.8988,0.9754,1.0
violations,sum_concept_reinforcement,0.3083,0.0186,0.1886,1.0
violations,sum_motivation_relevance,0.6549,0.0,0.0,0.0
violations,sum_instructional_visual_richness,0.4729,0.0002,0.0074,0.0719
violations,sum_cognitive_load_management,-0.4024,0.0017,0.0483,0.697
violations,sum_self_containment,,0.1796,0.4901,1.0
violations,st3_complexity_pacing,,0.2466,0.5833,1.0
violations,st3_concept_progression,,0.7683,0.9256,1.0
violations,st3_cross_lecture_reinforcement,,0.0854,0.3762,1.0
violations,st3_curriculum_coherence,,0.9245,0.9804,1.0
violations,st3_integration_synthesis,,0.3724,0.7237,1.0
violations,st3_prerequisite_self_containment,,0.9146,0.9784,1.0
violations,st3_terminology_consistency,,0.8688,0.9702,1.0
violations,rmp_would_take_again,,0.1671,0.4772,1.0
used,Lecturer,,0.222,0.5531,1.0
used,Course,,0.1146,0.4235,1.0
used,Materials,,0.1527,0.4549,1.0
used,Support,,0.2148,0.539,1.0
used,Grading,,0.1664,0.4772,1.0
used,ccr_star_rating,-0.3002,0.022,0.2036,1.0
used,ccr_num_reviews,,0.2537,0.5968,1.0
used,ccr_student_satisfaction,-0.3009,0.0217,0.2036,1.0
used,ccr_challenge_level,0.2894,0.0276,0.2237,1.0
used,ccr_time_investment,0.3405,0.0089,0.123,1.0
used,ccr_attendance_importance,,0.414,0.7465,1.0
used,ccr_recommendation_rate,,0.9387,0.9813,1.0
used,ccr_grade_accessibility,,0.4169,0.7465,1.0
used,rmp_avg_rating,,0.1162,0.4257,1.0
used,rmp_avg_difficulty,0.2743,0.0372,0.2608,1.0
used,rmp_num_ratings,,0.7614,0.9256,1.0
used,asp_conceptual_clarity,,0.3094,0.6671,1.0
used,asp_organization_flow,,0.6716,0.8945,1.0
used,asp_learning_materials_quality,,0.7054,0.8949,1.0
used,asp_cognitive_load,,0.1104,0.4155,1.0
used,asp_assessment_alignment,,0.2457,0.5833,1.0
used,rev_slides_sufficiency,,0.9035,0.9767,1.0
used,rev_textbook_dependence,,0.6835,0.8945,1.0
used,rev_external_resources,,0.2285,0.5599,1.0
used,rev_prerequisite_struggle,,0.8015,0.9417,1.0
used,rev_pace_pressure,,0.4237,0.7465,1.0
used,rev_cumulative_review,,0.375,0.7237,1.0
used,rev_exam_lecture_alignment,,0.2079,0.5307,1.0
used,rev_attendance_expectation,,0.8577,0.9702,1.0
used,sum_conceptual_clarity,,0.2602,0.6035,1.0
used,sum_visual_grounding,,0.0695,0.3385,1.0
used,sum_example_support,,0.7112,0.8949,1.0
used,sum_organization_flow,,0.685,0.8945,1.0
used,sum_concept_reinforcement,0.4397,0.0006,0.0208,0.2235
used,sum_motivation_relevance,0.6331,0.0,0.0,0.0
used,sum_instructional_visual_richness,0.4789,0.0001,0.0066,0.0581
used,sum_cognitive_load_management,-0.3909,0.0024,0.0555,0.9578
used,sum_self_containment,,0.5771,0.8743,1.0
used,st3_complexity_pacing,,0.6882,0.8945,1.0
used,st3_concept_progression,,0.567,0.8695,1.0
used,st3_cross_lecture_reinforcement,0.3522,0.0067,0.1028,1.0
used,st3_curriculum_coherence,,0.6284,0.8772,1.0
used,st3_integration_synthesis,,0.1515,0.4549,1.0
used,st3_prerequisite_self_containment,,0.57,0.8708,1.0
used,st3_terminology_consistency,,0.8434,0.9702,1.0
used,rmp_would_take_again,,0.4278,0.7505,1.0
