aspect,other,r,p_raw,q_bh,p_holm,n,sig_holm,sig_bh
Materials,ccr_grade_accessibility,0.0732,0.5381,0.7107,1.0,73,False,False
Materials,rmp_avg_rating,0.679,0.0,0.0,0.0,73,True,True
Materials,rmp_avg_difficulty,-0.4563,0.0,0.0004,0.0092,73,True,True
Materials,rmp_num_ratings,0.1599,0.1766,0.3402,1.0,73,False,False
Materials,rmp_would_take_again,0.5601,0.0,0.0,0.0005,61,True,True
Materials,gpt_visual_documentation,-0.0552,0.6804,0.8073,1.0,58,False,False
Materials,gpt_visual_appeal,-0.0578,0.6665,0.8059,1.0,58,False,False
Materials,gpt_prerequisite,-0.0645,0.6305,0.7788,1.0,58,False,False
Materials,gpt_progression,-0.0709,0.597,0.7788,1.0,58,False,False
Materials,gpt_long_term_recall,-0.2343,0.0767,0.1886,1.0,58,False,False
Materials,gpt_U,-0.1932,0.1462,0.301,1.0,58,False,False
Materials,gpt_Total,-0.1708,0.2,0.362,1.0,58,False,False
Materials,gpt_violations,-0.1415,0.2893,0.4746,1.0,58,False,False
Materials,gpt_used,-0.1902,0.1527,0.3084,1.0,58,False,False
Support,ccr_star_rating,0.385,0.0008,0.0043,0.1341,73,False,True
Support,ccr_num_reviews,-0.0606,0.6103,0.7788,1.0,73,False,False
Support,ccr_student_satisfaction,0.3873,0.0007,0.0042,0.1247,73,False,True
Support,ccr_challenge_level,-0.2088,0.0763,0.1886,1.0,73,False,False
Support,ccr_time_investment,-0.2806,0.0162,0.0557,1.0,73,False,False
Support,ccr_attendance_importance,0.1127,0.3427,0.5291,1.0,73,False,False
Support,ccr_recommendation_rate,0.2768,0.0177,0.0591,1.0,73,False,False
Support,ccr_grade_accessibility,0.0176,0.8823,0.9358,1.0,73,False,False
Support,rmp_avg_rating,0.789,0.0,0.0,0.0,73,True,True
Support,rmp_avg_difficulty,-0.4708,0.0,0.0002,0.0049,73,True,True
Support,rmp_num_ratings,0.1468,0.2151,0.3765,1.0,73,False,False
Support,rmp_would_take_again,0.574,0.0,0.0,0.0003,61,True,True
Support,gpt_visual_documentation,-0.1185,0.3758,0.5637,1.0,58,False,False
Support,gpt_visual_appeal,-0.0146,0.9131,0.9493,1.0,58,False,False
Support,gpt_prerequisite,-0.1345,0.314,0.5022,1.0,58,False,False
Support,gpt_progression,0.0156,0.9076,0.9483,1.0,58,False,False
Support,gpt_long_term_recall,0.0353,0.7925,0.8782,1.0,58,False,False
Support,gpt_U,-0.223,0.0925,0.2158,1.0,58,False,False
Support,gpt_Total,-0.2445,0.0644,0.1756,1.0,58,False,False
Support,gpt_violations,-0.1124,0.4007,0.5803,1.0,58,False,False
Support,gpt_used,-0.1653,0.2148,0.3765,1.0,58,False,False
Grading,ccr_star_rating,0.4461,0.0001,0.0006,0.014,73,True,True
Grading,ccr_num_reviews,0.0026,0.9824,0.99,1.0,73,False,False
Grading,ccr_student_satisfaction,0.4416,0.0001,0.0007,0.0168,73,True,True
Grading,ccr_challenge_level,-0.299,0.0102,0.0368,1.0,73,False,True
Grading,ccr_time_investment,-0.3633,0.0016,0.0077,0.2662,73,False,True
Grading,ccr_attendance_importance,0.0616,0.6046,0.7788,1.0,73,False,False
Grading,ccr_recommendation_rate,0.4131,0.0003,0.0017,0.0498,73,True,True
Grading,ccr_grade_accessibility,0.1534,0.195,0.3575,1.0,73,False,False
Grading,rmp_avg_rating,0.6169,0.0,0.0,0.0,73,True,True
Grading,rmp_avg_difficulty,-0.4811,0.0,0.0002,0.0031,73,True,True
Grading,rmp_num_ratings,0.1532,0.1958,0.3575,1.0,73,False,False
Grading,rmp_would_take_again,0.5531,0.0,0.0,0.0007,61,True,True
Grading,gpt_visual_documentation,-0.1179,0.3782,0.5637,1.0,58,False,False
Grading,gpt_visual_appeal,-0.1725,0.1953,0.3575,1.0,58,False,False
Grading,gpt_prerequisite,-0.0513,0.7022,0.8227,1.0,58,False,False
Grading,gpt_progression,-0.0646,0.63,0.7788,1.0,58,False,False
Grading,gpt_long_term_recall,-0.042,0.754,0.8513,1.0,58,False,False
Grading,gpt_U,-0.266,0.0436,0.1237,1.0,58,False,False
Grading,gpt_Total,-0.2688,0.0413,0.1188,1.0,58,False,False
Grading,gpt_violations,-0.1307,0.3281,0.5156,1.0,58,False,False
Grading,gpt_used,-0.1841,0.1664,0.3297,1.0,58,False,False
asp_conceptual_clarity,ccr_star_rating,0.3769,0.001,0.0053,0.1731,73,False,True
asp_conceptual_clarity,ccr_num_reviews,-0.0299,0.8019,0.8782,1.0,73,False,False
asp_conceptual_clarity,ccr_student_satisfaction,0.3778,0.001,0.0053,0.169,73,False,True
asp_conceptual_clarity,ccr_challenge_level,-0.1612,0.173,0.3396,1.0,73,False,False
asp_conceptual_clarity,ccr_time_investment,-0.2623,0.025,0.0808,1.0,73,False,False
asp_conceptual_clarity,ccr_attendance_importance,0.1048,0.3775,0.5637,1.0,73,False,False
asp_conceptual_clarity,ccr_recommendation_rate,0.3178,0.0061,0.0244,0.9733,73,False,True
asp_conceptual_clarity,ccr_grade_accessibility,0.0189,0.8739,0.9315,1.0,73,False,False
asp_conceptual_clarity,rmp_avg_rating,0.7389,0.0,0.0,0.0,73,True,True
asp_conceptual_clarity,rmp_avg_difficulty,-0.4584,0.0,0.0004,0.0084,73,True,True
asp_conceptual_clarity,rmp_num_ratings,0.2021,0.0863,0.2037,1.0,73,False,False
asp_conceptual_clarity,rmp_would_take_again,0.5349,0.0,0.0001,0.0017,61,True,True
asp_conceptual_clarity,gpt_visual_documentation,-0.1289,0.3348,0.5208,1.0,58,False,False
asp_conceptual_clarity,gpt_visual_appeal,-0.0853,0.5244,0.6993,1.0,58,False,False
asp_conceptual_clarity,gpt_prerequisite,-0.0216,0.8719,0.9315,1.0,58,False,False
asp_conceptual_clarity,gpt_progression,0.0655,0.625,0.7788,1.0,58,False,False
asp_conceptual_clarity,gpt_long_term_recall,-0.1055,0.4305,0.6186,1.0,58,False,False
asp_conceptual_clarity,gpt_U,-0.1675,0.209,0.3722,1.0,58,False,False
asp_conceptual_clarity,gpt_Total,-0.1728,0.1946,0.3575,1.0,58,False,False
asp_conceptual_clarity,gpt_violations,-0.1165,0.3838,0.5637,1.0,58,False,False
asp_conceptual_clarity,gpt_used,-0.1358,0.3094,0.4998,1.0,58,False,False
asp_organization_flow,ccr_star_rating,0.2068,0.0792,0.1912,1.0,73,False,False
asp_organization_flow,ccr_num_reviews,-0.1828,0.1217,0.2566,1.0,73,False,False
asp_organization_flow,ccr_student_satisfaction,0.2106,0.0737,0.1886,1.0,73,False,False
asp_organization_flow,ccr_challenge_level,-0.0403,0.7353,0.8437,1.0,73,False,False
asp_organization_flow,ccr_time_investment,-0.2137,0.0695,0.1865,1.0,73,False,False
asp_organization_flow,ccr_attendance_importance,0.2558,0.0289,0.0907,1.0,73,False,False
asp_organization_flow,ccr_recommendation_rate,0.1487,0.2091,0.3722,1.0,73,False,False
asp_organization_flow,ccr_grade_accessibility,-0.0873,0.4628,0.6449,1.0,73,False,False
asp_organization_flow,rmp_avg_rating,0.5292,0.0,0.0,0.0003,73,True,True
asp_organization_flow,rmp_avg_difficulty,-0.3397,0.0033,0.0143,0.5341,73,False,True
asp_organization_flow,rmp_num_ratings,0.2845,0.0147,0.0514,1.0,73,False,False
asp_organization_flow,rmp_would_take_again,0.3277,0.0099,0.0366,1.0,61,False,True
asp_organization_flow,gpt_visual_documentation,-0.0554,0.6797,0.8073,1.0,58,False,False
asp_organization_flow,gpt_visual_appeal,-0.0349,0.7947,0.8782,1.0,58,False,False
asp_organization_flow,gpt_prerequisite,0.0572,0.6697,0.8059,1.0,58,False,False
asp_organization_flow,gpt_progression,0.0335,0.8029,0.8782,1.0,58,False,False
asp_organization_flow,gpt_long_term_recall,-0.2306,0.0815,0.1946,1.0,58,False,False
asp_organization_flow,gpt_U,-0.0405,0.7627,0.8565,1.0,58,False,False
asp_organization_flow,gpt_Total,-0.05,0.7091,0.8227,1.0,58,False,False
asp_organization_flow,gpt_violations,-0.0678,0.613,0.7788,1.0,58,False,False
asp_organization_flow,gpt_used,-0.0569,0.6716,0.8059,1.0,58,False,False
asp_learning_materials_quality,ccr_star_rating,0.2496,0.0332,0.1011,1.0,73,False,False
asp_learning_materials_quality,ccr_num_reviews,0.0327,0.7834,0.8751,1.0,73,False,False
asp_learning_materials_quality,ccr_student_satisfaction,0.2527,0.031,0.0957,1.0,73,False,False
asp_learning_materials_quality,ccr_challenge_level,-0.1385,0.2427,0.4144,1.0,73,False,False
asp_learning_materials_quality,ccr_time_investment,-0.1854,0.1163,0.2492,1.0,73,False,False
asp_learning_materials_quality,ccr_attendance_importance,0.0884,0.4573,0.6445,1.0,73,False,False
asp_learning_materials_quality,ccr_recommendation_rate,0.2589,0.027,0.0858,1.0,73,False,False
asp_learning_materials_quality,ccr_grade_accessibility,-0.0376,0.7519,0.8513,1.0,73,False,False
asp_learning_materials_quality,rmp_avg_rating,0.492,0.0,0.0001,0.0019,73,True,True
asp_learning_materials_quality,rmp_avg_difficulty,-0.3845,0.0008,0.0043,0.1355,73,False,True
asp_learning_materials_quality,rmp_num_ratings,0.2297,0.0506,0.1417,1.0,73,False,False
asp_learning_materials_quality,rmp_would_take_again,0.4044,0.0012,0.0061,0.2073,61,False,True
asp_learning_materials_quality,gpt_visual_documentation,0.0247,0.8541,0.9198,1.0,58,False,False
asp_learning_materials_quality,gpt_visual_appeal,0.0266,0.8429,0.9124,1.0,58,False,False
asp_learning_materials_quality,gpt_prerequisite,0.0033,0.9805,0.99,1.0,58,False,False
asp_learning_materials_quality,gpt_progression,0.0661,0.6218,0.7788,1.0,58,False,False
asp_learning_materials_quality,gpt_long_term_recall,-0.2776,0.0349,0.1032,1.0,58,False,False
asp_learning_materials_quality,gpt_U,-0.0017,0.9902,0.9902,1.0,58,False,False
asp_learning_materials_quality,gpt_Total,0.0622,0.6426,0.7892,1.0,58,False,False
asp_learning_materials_quality,gpt_violations,-0.0673,0.6159,0.7788,1.0,58,False,False
asp_learning_materials_quality,gpt_used,-0.0507,0.7054,0.8227,1.0,58,False,False
asp_cognitive_load,ccr_star_rating,0.3098,0.0077,0.0298,1.0,73,False,True
asp_cognitive_load,ccr_num_reviews,-0.1372,0.2471,0.4152,1.0,73,False,False
asp_cognitive_load,ccr_student_satisfaction,0.3054,0.0086,0.0323,1.0,73,False,True
asp_cognitive_load,ccr_challenge_level,-0.2478,0.0345,0.1032,1.0,73,False,False
asp_cognitive_load,ccr_time_investment,-0.3306,0.0043,0.0176,0.685,73,False,True
asp_cognitive_load,ccr_attendance_importance,0.2948,0.0114,0.0404,1.0,73,False,True
asp_cognitive_load,ccr_recommendation_rate,0.1426,0.2286,0.3936,1.0,73,False,False
asp_cognitive_load,ccr_grade_accessibility,0.011,0.9261,0.9581,1.0,73,False,False
asp_cognitive_load,rmp_avg_rating,0.5516,0.0,0.0,0.0001,73,True,True
asp_cognitive_load,rmp_avg_difficulty,-0.6422,0.0,0.0,0.0,73,True,True
asp_cognitive_load,rmp_num_ratings,0.128,0.2806,0.464,1.0,73,False,False
asp_cognitive_load,rmp_would_take_again,0.2903,0.0232,0.0763,1.0,61,False,False
asp_cognitive_load,gpt_visual_documentation,-0.219,0.0986,0.225,1.0,58,False,False
asp_cognitive_load,gpt_visual_appeal,-0.0501,0.7089,0.8227,1.0,58,False,False
asp_cognitive_load,gpt_prerequisite,-0.0275,0.8377,0.9115,1.0,58,False,False
asp_cognitive_load,gpt_progression,0.019,0.8873,0.9364,1.0,58,False,False
asp_cognitive_load,gpt_long_term_recall,-0.0026,0.9846,0.99,1.0,58,False,False
asp_cognitive_load,gpt_U,-0.2007,0.1309,0.2721,1.0,58,False,False
asp_cognitive_load,gpt_Total,-0.2394,0.0703,0.1865,1.0,58,False,False
asp_cognitive_load,gpt_violations,-0.1904,0.1522,0.3084,1.0,58,False,False
asp_cognitive_load,gpt_used,-0.2119,0.1104,0.2415,1.0,58,False,False
asp_assessment_alignment,ccr_star_rating,0.4734,0.0,0.0002,0.0044,73,True,True
asp_assessment_alignment,ccr_num_reviews,-0.0022,0.9853,0.99,1.0,73,False,False
asp_assessment_alignment,ccr_student_satisfaction,0.4739,0.0,0.0002,0.0043,73,True,True
asp_assessment_alignment,ccr_challenge_level,-0.2232,0.0577,0.1595,1.0,73,False,False
asp_assessment_alignment,ccr_time_investment,-0.3326,0.004,0.017,0.6507,73,False,True
asp_assessment_alignment,ccr_attendance_importance,0.1041,0.3808,0.5637,1.0,73,False,False
asp_assessment_alignment,ccr_recommendation_rate,0.358,0.0019,0.0089,0.3125,73,False,True
asp_assessment_alignment,ccr_grade_accessibility,0.0912,0.443,0.6286,1.0,73,False,False
asp_assessment_alignment,rmp_avg_rating,0.5669,0.0,0.0,0.0,73,True,True
asp_assessment_alignment,rmp_avg_difficulty,-0.4167,0.0002,0.0016,0.0437,73,True,True
asp_assessment_alignment,rmp_num_ratings,0.1191,0.3157,0.5022,1.0,73,False,False
asp_assessment_alignment,rmp_would_take_again,0.4062,0.0012,0.0059,0.1972,61,False,True
asp_assessment_alignment,gpt_visual_documentation,-0.1169,0.3823,0.5637,1.0,58,False,False
asp_assessment_alignment,gpt_visual_appeal,-0.1776,0.1823,0.348,1.0,58,False,False
asp_assessment_alignment,gpt_prerequisite,-0.0669,0.6178,0.7788,1.0,58,False,False
asp_assessment_alignment,gpt_progression,-0.0058,0.9654,0.989,1.0,58,False,False
asp_assessment_alignment,gpt_long_term_recall,-0.2192,0.0982,0.225,1.0,58,False,False
asp_assessment_alignment,gpt_U,-0.2159,0.1036,0.2339,1.0,58,False,False
asp_assessment_alignment,gpt_Total,-0.213,0.1085,0.2398,1.0,58,False,False
asp_assessment_alignment,gpt_violations,-0.0969,0.4693,0.6483,1.0,58,False,False
asp_assessment_alignment,gpt_used,-0.1549,0.2457,0.4152,1.0,58,False,False
