row,Lecturer,Course,Materials,Support,Grading,ccr_star_rating,ccr_num_reviews,ccr_student_satisfaction,ccr_challenge_level,ccr_time_investment,ccr_attendance_importance,ccr_recommendation_rate,ccr_grade_accessibility,rmp_avg_rating,rmp_avg_difficulty,rmp_num_ratings,gpt_visual_documentation,gpt_visual_appeal,gpt_prerequisite,gpt_progression,gpt_long_term_recall,asp_conceptual_clarity,asp_organization_flow,asp_learning_materials_quality,asp_cognitive_load,asp_assessment_alignment,rev_slides_sufficiency,rev_textbook_dependence,rev_external_resources,rev_prerequisite_struggle,rev_pace_pressure,rev_cumulative_review,rev_exam_lecture_alignment,rev_attendance_expectation,gpt_U,gpt_Total,gpt_violations,gpt_used,sum_conceptual_clarity,sum_visual_grounding,sum_example_support,sum_organization_flow,sum_concept_reinforcement,sum_motivation_relevance,sum_instructional_visual_richness,sum_cognitive_load_management,sum_self_containment,st3_complexity_pacing,st3_concept_progression,st3_cross_lecture_reinforcement,st3_curriculum_coherence,st3_integration_synthesis,st3_prerequisite_self_containment,st3_terminology_consistency,rmp_would_take_again
rev_pace_pressure,,,,,,,0.2486,,,0.311,-0.261,,,,0.3072,0.2426,,,,,,,,,-0.5253,,,,,0.381,1.0,0.268,,,,,,,,0.2873,,,,,,,,,,,,,,,
rev_cumulative_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2732,,,0.268,1.0,,,,,,,,,,0.3072,,,,,,,,,,,,,
rev_exam_lecture_alignment,0.5675,0.6255,0.6342,0.5402,0.7091,0.3562,,0.3561,,-0.2914,,0.3738,,0.5329,-0.3971,,,,,,,0.6238,0.5018,0.4949,0.3933,0.8861,0.5065,-0.3909,-0.449,-0.3619,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.4944
rev_attendance_expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,-0.2945,-0.2326,,,,,1.0,,,,,,,,,,,,,0.2617,,,,,-0.2818,,-0.3491,
gpt_U,,,,,-0.266,-0.2713,,-0.2663,,0.3254,,,,,0.2954,,,,,0.2798,,,,,,,,,,,,,,,1.0,0.9512,0.7083,0.7842,,,,,0.4027,0.5309,0.6023,-0.2926,,,,0.3381,,,,,
gpt_Total,,-0.27,,,-0.2688,-0.3297,,-0.3234,0.2784,0.3842,,,,,0.2852,,,,,,,,,,,,,,,,,,,,0.9512,1.0,0.6507,0.7835,,0.3,,,0.4882,0.5422,0.5957,-0.3022,,,,0.3656,,,,,
gpt_violations,,,,,,,-0.2651,,,,,,,,,,,,,0.2624,,,,,,,,,,,,,,,0.7083,0.6507,1.0,0.9271,,,,,0.3083,0.6549,0.4729,-0.4024,,,,,,,,,
gpt_used,,,,,,-0.3002,,-0.3009,0.2894,0.3405,,,,,0.2743,,0.2704,,,0.3032,0.2857,,,,,,,,,,,,,,0.7842,0.7835,0.9271,1.0,,,,,0.4397,0.6331,0.4789,-0.3909,,,,0.3522,,,,,
sum_conceptual_clarity,,,,,,-0.3846,,-0.378,0.4357,0.4522,,,-0.4038,,,0.2707,0.3298,,0.3846,0.2591,0.4181,,,,,,,,,,,,,,,,,,1.0,0.7288,0.5408,0.651,0.6083,,0.3985,,0.7326,,,,,-0.2952,,,
sum_visual_grounding,,,,,,-0.2673,,-0.2623,0.2904,0.2996,-0.3289,,-0.3405,,,,0.3726,,,,,,,,,,,,,,0.2873,,,,,0.3,,,0.7288,1.0,0.3872,0.4351,0.5181,0.2956,0.6497,,0.4024,,,,,,,,
sum_example_support,,,,,,-0.33,,-0.3272,0.3332,0.2943,,,-0.3729,,,0.3939,,,,,,,,,,,,,,,,,,,,,,,0.5408,0.3872,1.0,0.3121,0.4342,,0.3321,-0.2701,0.5401,,,,,,,,
sum_organization_flow,,,,,,,,,,0.2613,,,-0.2619,,,,0.3582,,,,,,,,-0.2874,,,,,,,0.3072,,,,,,,0.651,0.4351,0.3121,1.0,0.4453,,,,0.6041,,,,,-0.2999,,,
sum_concept_reinforcement,,-0.2743,,,,-0.328,,-0.3255,0.3454,0.4766,,,,,,,0.2955,,0.3426,,0.3524,,,,,,,,,,,,,,0.4027,0.4882,0.3083,0.4397,0.6083,0.5181,0.4342,0.4453,1.0,0.5421,0.6024,-0.5077,0.3652,,,,,,,,
sum_motivation_relevance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5309,0.5422,0.6549,0.6331,,0.2956,,,0.5421,1.0,0.564,-0.3359,,,,,,,,,
sum_instructional_visual_richness,,,,,,,,,0.3026,0.3428,,,,,,,,,,,,,,,,,,,,,,,,,0.6023,0.5957,0.4729,0.4789,0.3985,0.6497,0.3321,,0.6024,0.564,1.0,-0.3225,,,,,,,,,
sum_cognitive_load_management,,,,,,0.3096,,0.313,-0.3744,-0.3936,,,,,,,,0.5915,,,,,,0.3036,,,,,,,,,,,-0.2926,-0.3022,-0.4024,-0.3909,,,-0.2701,,-0.5077,-0.3359,-0.3225,1.0,,0.2605,,,,,,,
sum_self_containment,,,,,,-0.3563,0.2831,-0.3542,,,,,-0.4298,,,0.4252,0.308,,,,0.2814,,,,,,,-0.2668,,,,,,0.2617,,,,,0.7326,0.4024,0.5401,0.6041,0.3652,,,,1.0,,,-0.3595,,-0.3811,,,
st3_complexity_pacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2605,,1.0,0.6155,0.3514,0.5878,,0.4453,,
st3_concept_progression,,,,,,,,,,,,,,,,,,,,0.3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6155,1.0,0.3915,0.8411,,0.5963,,
st3_cross_lecture_reinforcement,,,,,,,,,,,,,,,,,,,0.3435,,,,,,,,,,,,,,,,0.3381,0.3656,,0.3522,,,,,,,,,-0.3595,0.3514,0.3915,1.0,0.4268,0.5484,,,
st3_curriculum_coherence,,,,,,,,,,,,,,,,,,,,0.2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5878,0.8411,0.4268,1.0,0.2718,0.4744,,
st3_integration_synthesis,,,,,,,,,,,,,,,,,,,0.3658,,,,,,,,,,,,,,,-0.2818,,,,,-0.2952,,,-0.2999,,,,,-0.3811,,,0.5484,0.2718,1.0,,,
st3_prerequisite_self_containment,,,,,,,,,,,,,,,,,,,0.2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4453,0.5963,,0.4744,,1.0,,
st3_terminology_consistency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3491,,,,,,,,,,,,,,,,,,,,1.0,
rmp_would_take_again,0.5908,0.4716,0.5601,0.574,0.5531,0.3483,,0.3436,,,,0.5495,,0.5825,-0.3365,,,,,,,0.5349,0.3277,0.4044,0.2903,0.4062,0.2872,-0.2777,-0.2906,,,,0.4944,,,,,,,,,,,,,,,,,,,,,,1.0
